,article_id,comments,published,title,type,url
0,3915.0,0.0,2011-10-07,AGB,static_page,http://www.tageswoche.ch/de/pages/about/3915/agb.htm
0,3917.0,0.0,2011-10-07,Impressum,static_page,http://www.tageswoche.ch/de/pages/about/3917/impressum.htm
0,3918.0,0.0,2011-10-07,Kontakt,static_page,http://www.tageswoche.ch/de/pages/about/3918/kontakt.htm
0,3919.0,0.0,2011-10-07,Community-Leitfaden,static_page,http://www.tageswoche.ch/de/pages/about/3919/community-leitfaden.htm
0,3923.0,0.0,2011-10-07,Über uns,static_page,http://www.tageswoche.ch/de/pages/about/3923/ueber-uns.htm
0,78906.0,0.0,2011-10-25,Auto-Erotik: Forza Motorsport 4,blog,http://www.tageswoche.ch/de/blogs/Spieltrieb/78906/auto-erotik-forza-motorsport-4.htm
0,80382.0,0.0,2011-10-27,Die TagesWoche: Mehr als eine Zeitung,news,http://www.tageswoche.ch/de/2011_43/dialog/80382/die-tageswoche-mehr-als-eine-zeitung.htm
0,80423.0,0.0,2011-10-27,Schweizerhalle: Die Lehren  aus dem Unfall,news,http://www.tageswoche.ch/de/2011_43/basel/80423/schweizerhalle-die-lehren-aus-dem-unfall.htm
0,96842.0,9.0,2011-10-27,"Wir sind online, wir sind beta",blog,http://www.tageswoche.ch/de/blogs/mittendrin/96842/wir-sind-online-wir-sind-beta.htm
0,104505.0,7.0,2011-11-04,"Adieu, Anarchie! Basels Feierszene wird flügge",news,http://www.tageswoche.ch/de/2011_44/kultur/104505/adieu-anarchie-basels-feierszene-wird-fluegge.htm
0,104531.0,1.0,2011-11-04,Viren und Kokain auf den meisten Geldscheinen,news,http://www.tageswoche.ch/de/2011_44/schweiz/104531/viren-und-kokain-auf-den-meisten-geldscheinen.htm
0,104558.0,0.0,2011-11-02,Zürcher Daros-Museum schliesst für immer,news,http://www.tageswoche.ch/de/2011_43/kultur/104558/zuercher-daros-museum-schliesst-fuer-immer.htm
0,105160.0,0.0,2016-04-07,Zeitungsarchiv,static_page,http://www.tageswoche.ch/de/pages/about/105160/zeitungsarchiv.htm
0,109153.0,2.0,2011-11-11,Als Basel ein Hanfmekka war,news,http://www.tageswoche.ch/de/2011_45/schweiz/109153/als-basel-ein-hanfmekka-war.htm
0,109944.0,3.0,2011-11-11,"«Ein Theater, das allen gefällt, ist suspekt»",news,http://www.tageswoche.ch/de/2011_45/kultur/109944/ein-theater-das-allen-gefaellt-ist-suspekt.htm
0,111223.0,0.0,2011-11-12,Ein Flashback auf die Geschichte von LSD,news,http://www.tageswoche.ch/de/2011_45/kultur/111223/ein-flashback-auf-die-geschichte-von-lsd.htm
